2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0020
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0021
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0022
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0023
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0024
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0025
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0026
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0027
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0028
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0029
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0030
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0031
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0032
2023-11-22-04-57-23: REBOOT_CMD 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0033
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0034
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0035
2023-11-22-04-57-23: COLD_BOOT 	normal 	 	LNX6.1.83_PL5.1_V1.0.20_20250409-1341 	0036
