
Nov 22 04:57:23 localhost kernel: [    9.229655] file system registered
Nov 22 04:57:23 localhost kernel: [    9.283257] read descriptors
Nov 22 04:57:23 localhost kernel: [    9.283279] read strings
Nov 22 04:57:24 localhost kernel: [    9.376897] UDC core: g_comp: couldn't find an available UDC or it's busy
Mar  5 18:25:39 localhost kernel: [   21.128062] [L977]VNODE_ID_CAP vstride 1280
Mar  5 18:25:39 localhost kernel: [   21.128065] [L981]vstride 1280  planecount 1 
Mar  5 18:25:39 localhost kernel: [   21.128069] [L1023][S0] vin_node_reqbufs done bit_map 0x1 planecount 1 
Mar  5 18:25:39 localhost kernel: [   21.128073] [VIN_NODE]:[L743][C0]vin_node_video_reqbufs done
Mar  5 18:25:39 localhost kernel: [   21.128084] [VPF ops]:[L1325][vin2_cap][C0] vpf_request_frames: reqbuf number 3
Mar  5 18:25:39 localhost kernel: [   21.128201] [VPF ops]:[L1464][vin2_cap][C0] vpf_video_reqbufs: done
Mar  5 18:25:39 localhost kernel: [   21.194920] [VPF ops]:[L2066][vin2_cap][C0] vpf_video_querybuf: done
Mar  5 18:25:39 localhost kernel: [   21.195211] [VPF ops]:[L2066][vin2_cap][C0] vpf_video_querybuf: done
Mar  5 18:25:39 localhost kernel: [   21.195322] [VPF ops]:[L2066][vin2_cap][C0] vpf_video_querybuf: done
Mar  5 18:25:39 localhost kernel: [   21.195485] [VPF ops]:[L2575][vs-isp0_src] vpf_device_open: done
Mar  5 18:25:39 localhost kernel: [   21.195506] [VPF ops]:[L2575][vs-isp0_src_pd] vpf_device_open: done
Mar  5 18:25:39 localhost kernel: [   21.196802] [VPF ops]:[L2575][vs-isp0_cap] vpf_device_open: done
Mar  5 18:25:39 localhost kernel: [   21.196835] [VPF ops]:[L2575][vs-isp0_cap_raw] vpf_device_open: done
Mar  5 18:25:39 localhost kernel: [   21.196846] [VPF ops]:[L439][vs-isp0_src][C0] vpf_vctx_bind_vdev: done, ctx_index(0) refcount(1)
Mar  5 18:25:39 localhost kernel: [   21.196854] [VPF ops]:[L1875][vs-isp0_src][C0] vpf_video_bind_context: done
Mar  5 18:25:39 localhost kernel: [   21.196861] [VPF ops]:[L439][vs-isp0_src_pd][C0] vpf_vctx_bind_vdev: done, ctx_index(0) refcount(1)
Mar  5 18:25:39 localhost kernel: [   21.196866] [VPF ops]:[L1875][vs-isp0_src_pd][C0] vpf_video_bind_context: done
Mar  5 18:25:39 localhost kernel: [   21.196872] [VPF ops]:[L439][vs-isp0_cap][C0] vpf_vctx_bind_vdev: done, ctx_index(0) refcount(1)
Mar  5 18:25:39 localhost kernel: [   21.196876] [VPF ops]:[L1875][vs-isp0_cap][C0] vpf_video_bind_context: done
Mar  5 18:25:39 localhost kernel: [   21.196881] [VPF ops]:[L439][vs-isp0_cap_raw][C0] vpf_vctx_bind_vdev: done, ctx_index(0) refcount(1)
Mar  5 18:25:39 localhost kernel: [   21.196886] [VPF ops]:[L1875][vs-isp0_cap_raw][C0] vpf_video_bind_context: done
Mar  5 18:25:39 localhost kernel: [   21.196899] [VPF ops]:[L1079][vs-isp0_src][C0] vpf_video_get_struct_size: done
Mar  5 18:25:39 localhost kernel: [   21.196908] [VPF ops]:[L689][vs-isp0_cap][C0] vpf_video_set_init_attr: done
Mar  5 18:25:39 localhost kernel: [   21.214713] [VIO node]:[L104][isp0] vio_group_task_start: sched_mode 1
Mar  5 18:25:39 localhost kernel: [   21.214733] [VPF ops]:[L689][vs-isp0_src][C0] vpf_video_set_init_attr: done
Mar  5 18:25:39 localhost kernel: [   21.214751] [VPF ops]:[L689][vs-isp0_src_pd][C0] vpf_video_set_init_attr: done
Mar  5 18:25:39 localhost kernel: [   21.214758] [VPF ops]:[L689][vs-isp0_cap_raw][C0] vpf_video_set_init_attr: done
Mar  5 18:25:39 localhost kernel: [   21.214771] [VPF ops]:[L1079][vs-isp0_src][C0] vpf_video_get_struct_size: done
Mar  5 18:25:39 localhost kernel: [   21.214785] isp_set_ochn_attr format=6,width=1088,stride=1088,height=1280
Mar  5 18:25:39 localhost kernel: [   21.215112] isp_video_reqbufs done bit_map 0x1 planecount 2 vctx->id:8
Mar  5 18:25:39 localhost kernel: [   21.215138] [VPF ops]:[L1325][vs-isp0_cap][C0] vpf_request_frames: reqbuf number 16
Mar  5 18:25:39 localhost kernel: [   21.215145] [VPF ops]:[L978][vs-isp0_cap][C0] vpf_video_set_ochn_attr: done
Mar  5 18:25:39 localhost kernel: [   21.215168] [VPF ops]:[L1079][vs-isp0_src][C0] vpf_video_get_struct_size: done
Mar  5 18:25:39 localhost kernel: [   21.215177] isp_video_set_ichn_attr format=2,width=1088,stride=2176,height=1280,hdr_en=0
Mar  5 18:25:39 localhost kernel: [   21.215259] isp_video_reqbufs done bit_map 0x1 planecount 1 vctx->id:0
Mar  5 18:25:39 localhost kernel: [   21.215281] [VPF ops]:[L1325][vs-isp0_src][C0] vpf_request_frames: reqbuf number 16
Mar  5 18:25:39 localhost kernel: [   21.215287] [VPF ops]:[L850][vs-isp0_src][C0] vpf_video_set_ichn_attr: done
Mar  5 18:25:39 localhost kernel: [   21.215299] isp_video_reqbufs done bit_map 0x1 planecount 2 vctx->id:8
Mar  5 18:25:39 localhost kernel: [   21.215312] [VPF ops]:[L1325][vs-isp0_cap][C0] vpf_request_frames: reqbuf number 3
Mar  5 18:25:39 localhost kernel: [   21.215423] [VPF ops]:[L1464][vs-isp0_cap][C0] vpf_video_reqbufs: done
Mar  5 18:25:39 localhost kernel: [   21.215445] [VPF ops]:[L2066][vs-isp0_cap][C0] vpf_video_querybuf: done
Mar  5 18:25:39 localhost kernel: [   21.215710] [VPF ops]:[L2066][vs-isp0_cap][C0] vpf_video_querybuf: done
Mar  5 18:25:39 localhost kernel: [   21.215787] [VPF ops]:[L2066][vs-isp0_cap][C0] vpf_video_querybuf: done
Mar  5 18:25:39 localhost kernel: [   21.216479] [VPF ops]:[L2575][flow] vpf_device_open: done
Mar  5 18:25:39 localhost kernel: [   21.216505] [VPF ops]:[L1031][flow][C0] vpf_video_get_version: done
