
Nov 22 04:57:24 localhost kernel: [   10.345452] read descriptors
Nov 22 04:57:24 localhost kernel: [   10.345473] read strings
Nov 22 04:57:24 localhost kernel: [   10.435061] UDC core: g_comp: couldn't find an available UDC or it's busy
Mar  5 18:42:34 localhost kernel: [   22.727017] [VPF ops]:[L1193][F14] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:42:34 localhost kernel: [   22.727020] [VPF ops]:[L1197][F14] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:42:34 localhost kernel: [   22.727024] [VPF ops]:[L1193][F15] vpf_fill_frame_info: L0 use width instead of wstride
Mar  5 18:42:34 localhost kernel: [   22.727028] [VPF ops]:[L1197][F15] vpf_fill_frame_info: L0 use height instead of vstride
Mar  5 18:42:34 localhost kernel: [   22.727032] [VPF ops]:[L1325][vin2_src][C0] vpf_request_frames: reqbuf number 16
Mar  5 18:42:34 localhost kernel: [   22.727036] [VPF ops]:[L850][vin2_src][C0] vpf_video_set_ichn_attr: done
Mar  5 18:42:34 localhost kernel: [   22.727058] [VPF ops]:[L1079][vin2_src][C0] vpf_video_get_struct_size: done
Mar  5 18:42:34 localhost kernel: [   22.727076] [L236][S0] ochn0 auto calc vstride 1280
Mar  5 18:42:34 localhost kernel: [   22.727081] [L160]vin_basic_attr->format:43
Mar  5 18:42:34 localhost kernel: [   22.727086] [L425][S0][ipi0][ochn0]cim_set_ochn_attr done
Mar  5 18:42:34 localhost kernel: [   22.727090] [CIM]:[L340][S0]cim_video_set_ochn_attr done ret val:0
Mar  5 18:42:34 localhost kernel: [   22.727094] [L652][S0]vin_node_set_ochn_attr done
Mar  5 18:42:34 localhost kernel: [   22.727097] [VIN_NODE]:[L364][C0]vin_node_video_set_ochn_attr done
Mar  5 18:42:34 localhost kernel: [   22.727101] [L975]VNODE_ID_CAP wstride 2176
Mar  5 18:42:34 localhost kernel: [   22.727104] [L977]VNODE_ID_CAP vstride 1280
Mar  5 18:42:34 localhost kernel: [   22.727107] [L981]vstride 1280  planecount 1 
Mar  5 18:42:34 localhost kernel: [   22.727110] [L1023][S0] vin_node_reqbufs done bit_map 0x1 planecount 1 
Mar  5 18:42:34 localhost kernel: [   22.727114] [VIN_NODE]:[L743][C0]vin_node_video_reqbufs done
Mar  5 18:42:34 localhost kernel: [   22.727126] [VPF ops]:[L1325][vin2_cap][C0] vpf_request_frames: reqbuf number 16
Mar  5 18:42:34 localhost kernel: [   22.727131] [VPF ops]:[L978][vin2_cap][C0] vpf_video_set_ochn_attr: done
Mar  5 18:42:34 localhost kernel: [   22.727150] [VPF ops]:[L1079][vin2_src][C0] vpf_video_get_struct_size: done
Mar  5 18:42:34 localhost kernel: [   22.727169] vin mipi2: snrclk set freq cmd
Mar  5 18:42:34 localhost kernel: [   22.727182] vin mipi2: sensor2_mclk set 24000000 as 24000000
Mar  5 18:42:34 localhost kernel: [   22.727188] vin mipi2: snrclk set en cmd
Mar  5 18:42:34 localhost kernel: [   22.727191] vin mipi2: snrclk set enable
Mar  5 18:42:34 localhost kernel: [   22.727208] [L517][S0]vin_node_set_attr_ex done
Mar  5 18:42:34 localhost kernel: [   22.727212] [VIN_NODE]:[L324][C0]vin_node_video_set_attr_ex done
Mar  5 18:42:34 localhost kernel: [   22.727216] [VPF ops]:[L763][vin2_src][C0] vpf_video_set_attr_ex: done
Mar  5 18:42:34 localhost kernel: [   22.727222] [L517][S0]vin_node_set_attr_ex done
Mar  5 18:42:34 localhost kernel: [   22.727225] [VIN_NODE]:[L324][C0]vin_node_video_set_attr_ex done
Mar  5 18:42:34 localhost kernel: [   22.727228] [VPF ops]:[L763][vin2_cap][C0] vpf_video_set_attr_ex: done
Mar  5 18:42:34 localhost kernel: [   22.727252] [L975]VNODE_ID_CAP wstride 2176
Mar  5 18:42:34 localhost kernel: [   22.727255] [L977]VNODE_ID_CAP vstride 1280
Mar  5 18:42:34 localhost kernel: [   22.727258] [L981]vstride 1280  planecount 1 
Mar  5 18:42:34 localhost kernel: [   22.727261] [L1023][S0] vin_node_reqbufs done bit_map 0x1 planecount 1 
Mar  5 18:42:34 localhost kernel: [   22.727265] [VIN_NODE]:[L743][C0]vin_node_video_reqbufs done
Mar  5 18:42:34 localhost kernel: [   22.727276] [VPF ops]:[L1325][vin2_cap][C0] vpf_request_frames: reqbuf number 3
Mar  5 18:42:34 localhost kernel: [   22.727385] [VPF ops]:[L1464][vin2_cap][C0] vpf_video_reqbufs: done
Mar  5 18:42:34 localhost kernel: [   22.870424] [VPF ops]:[L2066][vin2_cap][C0] vpf_video_querybuf: done
Mar  5 18:42:34 localhost kernel: [   22.870729] [VPF ops]:[L2066][vin2_cap][C0] vpf_video_querybuf: done
Mar  5 18:42:34 localhost kernel: [   22.870843] [VPF mgr]:[L478]empty_camsys_reset: empty function
Mar  5 18:42:34 localhost kernel: [   22.870852] [VPF ops]:[L2066][vin2_cap][C0] vpf_video_querybuf: done
Mar  5 18:42:34 localhost kernel: [   22.870857] [L1228]cim_open open_cnt :1
Mar  5 18:42:34 localhost kernel: [   22.870861] [CIM]:[L192][S0]cim_video_open done ret val:0
Mar  5 18:42:34 localhost kernel: [   22.870866] [L1227][S0]vin_node_open done
Mar  5 18:42:34 localhost kernel: [   22.870870] [VIN_NODE]:[L694][C0]vin_node_video_open done
Mar  5 18:42:34 localhost kernel: [   22.870874] [VPF ops]:[L2575][vin0_src] vpf_device_open: done
Mar  5 18:42:34 localhost kernel: [   22.870894] [L1228]cim_open open_cnt :2
